"","ASPEN-WW-12-A","ASPEN-WW-19-B","ASPEN-WW-12-B","ASPEN-WW-15-A","ASPEN-WW-17-B","ASPEN-WW-18-B","ASPEN-WW-20-B","ASPEN-WW-19-A","ASPEN-WW-10-A","ASPEN-WW-11-B","ASPEN-WW-17-A","ASPEN-WW-20-A","ASPEN-WW-13-B","ASPEN-WW-15-B","ASPEN-WW-16-A","ASPEN-WW-18-A","ASPEN-WW-10-B","ASPEN-WW-16-B","ASPEN-WW-13-A","ASPEN-WW-14-A","ASPEN-WW-11-A","ASPEN-WW-8-A","ASPEN-WW-8-B","ASPEN-VV-9-A","ASPEN-VV-9-B","ASPEN-VV-7-A","ASPEN-VV-7-B","ASPEN-WW-3-A","ASPEN-WW-3-B","ASPEN-WW-4-A","ASPEN-WW-4-B","ASPEN-WW-5-B","ASPEN-WW-6-A","ASPEN-WW-6-B","ASPEN-WW-7-A","ASPEN-WW-7-B","ASPEN-WW-9-A","ASPEN-WW-9-B","ASPEN-VV-8-A","ASPEN-WW-5-A","ASPEN-VV-10-A","ASPEN-VV-10-B","ASPEN-WW-2-A","ASPEN-WW-2-B","ASPEN-VV-8-B","ASPEN-VV-19-B","ASPEN-VV-6-A","ASPEN-VV-6-B","ASPEN-WW-1-A","ASPEN-WW-1-B","ASPEN-TT-1-A","ASPEN-TT-1-B","ASPEN-TT-2-A","ASPEN-TT-2-B","ASPEN-TT-3-A","ASPEN-TT-3-B","ASPEN-TT-4-A","ASPEN-TT-4-B","ASPEN-TT-5-A","ASPEN-TT-5-B","ASPEN-TT-6-A","ASPEN-TT-6-B","ASPEN-TT-7-A","ASPEN-TT-7-B","ASPEN-TT-8-A","ASPEN-TT-8-B","ASPEN-TT-10-A","ASPEN-TT-10-B","ASPEN-VV-16-A","ASPEN-VV-18-A","ASPEN-VV-18-B","ASPEN-VV-20-A","ASPEN-VV-20-B","ASPEN-TT-14-A","ASPEN-TT-15-A","ASPEN-VV-12-A","ASPEN-VV-12-B","ASPEN-VV-16-B","ASPEN-VV-17-A","ASPEN-VV-19-A","ASPEN-TT-12-B","ASPEN-TT-15-B","ASPEN-TT-13-B","ASPEN-TT-14-B","ASPEN-TT-18-A","ASPEN-TT-20-B","ASPEN-VV-4-A","ASPEN-VV-4-B","ASPEN-VV-14-A","ASPEN-VV-14-B","ASPEN-VV-17-B","ASPEN-TT-11-A","ASPEN-TT-12-A","ASPEN-TT-16-B","ASPEN-TT-17-A","ASPEN-TT-19-A","ASPEN-TT-20-A","ASPEN-VV-1-A","ASPEN-VV-1-B","ASPEN-VV-2-A","ASPEN-VV-2-B","ASPEN-VV-3-A","ASPEN-VV-3-B","ASPEN-TT-11-B","ASPEN-TT-17-B","ASPEN-VV-11-A","ASPEN-VV-11-B","ASPEN-VV-13-A","ASPEN-VV-13-B","ASPEN-VV-15-A","ASPEN-VV-15-B","ASPEN-TT-13-A","ASPEN-TT-16-A","ASPEN-TT-18-B","ASPEN-TT-19-B","ASPEN-UU-4-A","ASPEN-UU-4-B","ASPEN-UU-5-A","ASPEN-UU-5-B","ASPEN-UU-8-B","ASPEN-UU-9-A","ASPEN-UU-9-B","ASPEN-VV-5-A","ASPEN-VV-5-B","ASPEN-UU-1-A","ASPEN-UU-1-B","ASPEN-UU-2-A","ASPEN-UU-2-B","ASPEN-UU-10-A","ASPEN-UU-10-B","ASPEN-UU-6-A","ASPEN-UU-6-B","ASPEN-UU-13-A","ASPEN-UU-14-B","ASPEN-UU-11-B","ASPEN-UU-20-B","ASPEN-UU-12-A","ASPEN-UU-13-B","ASPEN-UU-14-A","ASPEN-UU-19-A","ASPEN-UU-19-B","ASPEN-UU-17-A","ASPEN-UU-17-B","ASPEN-UU-18-A","ASPEN-UU-18-B","ASPEN-UU-12-B","ASPEN-UU-16-A"
"1982",0.707,0.318,0.503,0.953,0.531,1.142,1.806,0.471,0.59,1.314,0.546,1.387,0.973,2.725,0.393,0.819,0.36,0.711,1.802,1.942,1.473,1.98,1.927,2.354,1.396,3.211,2.844,1.392,2.004,1.217,1.888,1.787,1.181,0.734,1.413,1.209,1.065,0.984,1.335,1.373,1.056,1.663,2.529,2.138,0.889,2.955,2.275,1.219,2.203,1.877,1.886,1.006,1.87,1.551,1.535,1.41,1.442,1.042,0.966,1.481,1.222,1.803,2.169,2.238,1.708,1.978,0.947,0.496,1.873,1.855,1.952,2.185,2.202,3.257,2.865,1.986,2.213,1.698,2.339,2.291,2.828,1.943,3.125,3.06,4.394,3.447,1.155,1.173,1.656,1.515,2.539,3.148,2.498,3.404,2.242,3.114,2.688,0.413,1.222,0.978,1.074,0.941,1.084,2.86,3.235,1.981,4.61,2.066,2.137,1.964,2.102,2.777,3.228,3.835,3.379,1.838,1.872,1.698,1.752,1.492,2.214,2.168,1.658,1.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1983",0.914,0.441,0.949,1.21,0.867,1.447,1.798,0.624,1.029,1.78,0.975,1.512,0.748,2.421,0.751,1.128,0.456,0.794,1.926,2.103,2.082,1.211,1.72,2.676,2.022,3.29,3.247,1.517,1.606,0.68,1.722,1.54,1.065,0.522,1.941,0.918,0.896,0.732,1.765,1.24,1.333,2.112,2.586,3.151,1.594,3.96,2.93,2.008,1.398,1.969,2.928,1.45,2.75,2.496,2.14,1.972,1.886,1.427,1.512,1.773,2.218,2.345,2.736,3.197,1.708,2.336,1.263,0.817,3.503,3.304,3.401,3.463,3.401,3.577,3.693,3.576,3.888,3.179,3.248,3.741,3.971,2.806,3.973,3.961,5.75,3.214,1.687,1.728,2.204,2.181,3.811,4.145,3.322,3.574,2.943,3.217,2.477,1.257,2.134,1.914,2.357,0.91,0.882,3.61,3.809,3.939,3.22,3.097,2.644,3.228,3.411,3.143,4.219,4.891,3.438,1.304,1.298,1.984,1.835,0.829,0.776,0.572,0.639,0.95,0.903,0.987,1.754,1.842,1.113,1.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1984",1.188,0.45,0.892,0.975,0.686,1.373,1.728,0.607,0.924,1.518,0.891,1.412,1.265,2.33,0.499,1.296,0.235,1.055,1.664,2.367,1.961,1.603,2.613,2.089,1.595,3.3,3.246,1.485,1.666,1.434,2.28,1.673,0.939,0.85,1.826,1.254,1.312,1.411,1.083,1.756,1.218,2.099,2.463,2.831,0.823,2.784,1.794,1.882,1.55,1.549,2.767,0.599,2.266,1.797,1.281,1.331,1.689,1.258,1.026,1.146,1.362,1.351,1.836,1.642,1.682,1.678,0.819,0.371,2.343,2.085,2.199,2.454,2.495,3.24,2.805,2.698,2.959,1.901,2.068,2.388,3.252,2.367,2.626,2.725,3.688,2.258,1.071,0.928,1.218,1.163,2.809,2.897,3.747,2.951,2.36,2.123,1.93,0.72,1.138,0.311,0.567,0.333,0.657,2.596,1.969,3.121,4.479,1.884,1.792,1.883,2.24,2.769,3.156,3.586,2.964,1.05,1.202,1.406,1.332,0.524,1.444,1.052,0.903,1.084,1.284,1.356,1.329,1.707,1.37,1.358,2.355,2.471,1.319,1.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985",0.847,0.272,0.581,0.839,0.767,0.937,1.162,0.648,0.659,1.298,0.787,1.088,0.698,2.067,0.611,1.065,0.211,1.023,1.41,2.613,1.564,1.477,2.131,2.256,1.655,3.529,3.314,1.514,1.051,1.289,1.483,1.14,0.598,0.851,1.176,0.733,1.015,0.942,1.682,1.24,1.032,1.827,3.037,2.815,1.155,3.37,1.22,1.205,1.042,1.2,2.604,0.952,2.475,1.953,1.795,1.869,1.916,1.708,1.307,1.622,1.724,1.964,2.423,2.315,2.262,2.211,1.063,0.741,2.55,3.087,2.446,2.899,2.934,3.833,3.546,2.901,3.547,2.29,2.841,2.779,3.413,2.872,2.696,3.753,4.972,3.184,1.206,1.261,1.74,1.785,2.843,3.668,3.666,3.806,3.037,3.004,2.606,1.083,1.341,0.648,0.625,0.907,0.826,2.919,2.909,3.882,5.212,2.538,2.328,3.08,3.311,3.255,3.969,3.703,3.207,0.618,0.979,1.113,0.85,1.171,1.234,1.339,0.472,0.662,1.068,0.974,0.531,0.674,0.823,0.886,1.752,1.526,1.196,1.234,2.371,1.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1986",1.559,0.766,1.33,1.111,1.219,1.805,1.724,1.496,1.339,1.636,1.59,1.377,1.209,2.24,1.225,1.748,0.276,1.038,1.741,3.048,1.721,1.023,2.336,2.045,1.982,3.614,3.632,1.597,1.608,1.448,2.082,1.353,1.249,0.956,1.42,1.018,0.942,1.123,1.677,1.365,1.363,1.625,3.534,2.855,1.475,3.326,0.623,1.073,1.654,1.424,2.215,0.427,2.874,2.862,1.926,2.277,2.424,2.037,1.749,1.7,2.414,2.07,2.743,2.28,2.214,2.575,1.399,1.006,3.123,2.934,2.48,3.241,3.244,3.557,3.452,3.633,3.758,2.657,3.285,2.793,3.202,2.909,2.747,3.392,4.452,3.099,2.026,2.371,1.726,1.693,3.369,3.731,3.644,3.705,2.879,3.039,2.675,1.185,2.129,1.722,1.617,0.952,1.167,3.141,2.869,4.961,4.312,3.286,3.038,2.899,4.33,3.284,3.313,3.451,3.552,2.519,2.551,2.171,0.886,1.327,1.24,1.065,0.923,1.825,1.824,1.166,1.687,1.836,1.295,0.796,2.26,1.884,1.043,1.729,2.438,3.495,2.569,1.463,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1987",0.801,0.561,0.598,0.63,0.824,1.161,1.251,0.606,0.739,0.782,1.299,0.739,0.89,2.363,0.561,1.421,0.42,1.325,1.119,1.69,1.118,0.843,1.828,3.063,2.325,3.422,3.797,0.861,0.743,0.767,1.097,0.997,0.829,0.564,0.857,0.659,0.627,0.386,1.612,0.822,1.206,1.955,1.946,1.681,1.198,2.503,0.648,1.174,1.008,0.813,2.234,0.915,2.911,2.403,1.735,1.985,1.993,1.777,1.222,1.379,1.747,1.943,2.301,2.206,2.398,3.117,1.016,0.643,2.549,2.505,2.24,2.292,2.278,3.529,3.745,2.904,3.722,2.432,2.303,2.449,3.559,3.312,2.601,3.631,3.826,3.181,2.354,3.339,1.825,1.884,2.701,3.034,3.446,2.799,2.143,3.576,2.629,2.419,2.853,2.238,2.277,1.253,1.92,3.128,2.481,4.403,2.169,3.108,2.954,2.524,4.169,2.9,2.189,2.99,3.694,1.751,1.961,1.589,1.66,0.995,1.224,1.544,1.684,2.983,1.621,1.592,2.089,2.024,1.082,1.44,2.598,1.97,1.326,2.118,2.41,4.134,1.97,1.587,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988",0.568,0.571,0.665,1.158,0.985,1.293,1.43,0.238,1.134,0.943,1.519,1.236,1.038,2.794,0.966,1.384,0.626,1.084,1.054,2.265,1.1,1.054,2.071,1.296,1.596,3.273,3.014,1.099,1.169,0.735,1.374,1.543,0.812,0.645,1.212,0.677,0.637,0.643,1.292,0.788,1.166,1.619,2.358,1.445,1.085,2.321,0.524,1.112,1.232,0.945,1.99,1.407,2.374,1.566,1.189,1.515,1.774,1.456,1.319,1.115,1.803,1.495,1.456,1.383,2.101,2.046,0.368,0.44,1.911,1.71,1.554,1.894,1.99,2.966,2.592,4.442,3.547,1.761,2.282,2.125,2.72,2.685,1.85,2.809,2.915,2.289,2.782,3.251,1.446,1.41,1.805,2.444,2.536,2.012,2.083,2.037,1.861,2.822,2.862,2.329,2.56,2.785,2.99,2.092,1.912,4.767,2.092,2.748,2.796,2.106,2.668,2.148,1.388,2.677,2.456,0.907,1.684,1.565,1.901,1.42,1.795,1.8,1.809,2.718,1.789,1.97,1.662,1.589,1.647,1.157,2.788,2.29,1.371,2.708,3.263,4.113,4.034,2.084,2.581,8.846,3.506,NA,NA,NA,NA,NA,NA
"1989",0.396,0.346,0.702,0.834,0.591,1.042,1.198,0.304,0.753,0.762,0.82,0.971,0.531,1.742,0.464,0.626,0.319,0.75,0.526,2.125,0.945,1.196,1.51,0.494,0.506,1.847,1.664,0.851,0.806,0.541,1.371,1.029,0.57,0.386,0.949,0.526,0.404,0.398,1.532,0.679,0.411,0.656,2.166,1.984,0.989,1.236,0.24,0.826,1.36,0.658,1.268,0.35,2.41,1.979,1.902,1.632,2.14,1.568,1.57,1.228,1.837,1.725,1.715,2.046,2.662,2.702,0.609,0.654,1.28,1.328,1.378,1.153,1.033,2.694,2.833,3.392,2.917,1.773,2.167,1.629,2.557,2.749,1.662,2.631,2.9,2.887,2.361,3.928,2.042,2.11,1.866,2.149,2.331,2.529,2.15,2.685,2.31,2.693,2.782,2.195,2.842,2.739,3.382,2.52,2.632,4.039,3.871,3.134,3.059,2.118,3.176,1.803,1.916,2.675,2.743,2.902,4.192,3.063,3.501,1.532,1.587,1.856,1.822,2.745,2.7,2.95,2.763,3.172,3.236,3.544,4.293,3.827,3.217,4.247,3.601,4.781,3.453,4.137,3.612,9.291,5.556,4.904,3.863,6.341,8.312,NA,NA
"1990",0.621,0.36,0.67,0.87,0.595,1.197,1.62,0.298,0.601,0.867,0.821,1.339,0.576,2.243,0.388,1.191,0.298,0.614,0.468,2.114,1.278,1.063,1.292,0.637,0.276,1.533,1.412,0.817,0.763,1.032,1.283,1.009,0.541,0.376,0.856,0.737,0.578,0.73,1.415,0.853,0.802,0.986,2.145,0.992,1.035,0.826,0.297,0.894,1.126,0.622,1.539,0.207,1.493,1.194,1.501,1.347,1.741,1.198,0.775,0.78,1.609,1.545,1.196,1.318,2.271,2.034,0.398,0.405,2.024,1.568,1.468,1.582,1.56,2.105,2.29,2.311,2.073,1.942,1.822,2.028,2.124,2.949,1.659,2.403,2.693,2.103,1.692,3.309,2.164,2.102,1.877,1.528,2.055,2.263,1.981,1.638,1.926,2.441,2.017,1.873,1.758,1.792,2.221,1.795,1.728,3.138,3.005,2.781,2.92,1.715,2.308,1.577,1.996,2.476,2.186,1.708,1.794,3.801,2.947,0.7,1.615,2.123,1.427,2.378,2.366,2.256,2.678,2.87,3.066,2.856,3.644,2.765,2.857,2.063,3.59,4.084,3.337,3.081,3.051,10.123,3.427,4.971,5.499,3.712,4.059,NA,NA
"1991",0.295,0.152,0.449,0.828,0.512,1.128,1.474,0.375,0.119,0.418,0.675,0.988,1.143,2.498,0.315,1.133,0.069,0.539,0.539,1.947,0.515,1.148,1.408,1.212,0.816,1.924,1.724,0.877,0.73,0.715,1.118,0.86,0.314,0.295,0.68,0.802,0.374,0.588,0.467,0.881,0.794,1.12,2.259,0.933,0.509,1.824,0.497,0.619,0.764,0.956,1.722,0.159,1.577,0.93,1.321,1.231,1.646,1.412,0.863,0.644,1.541,1.34,1.447,0.905,2.326,1.425,0.328,0.169,1.474,0.993,0.707,1.732,1.739,2.52,2.253,1.431,1.361,1.562,1.673,1.848,1.834,2.833,1.747,2.539,2.68,2.188,1.223,1.617,1.163,1.183,1.808,1.572,2.041,1.988,2.439,1.706,1.699,1.212,1.252,0.781,0.714,0.958,1.008,1.283,1.973,1.681,2.515,1.68,1.319,0.63,0.863,1.727,0.899,1.768,2.248,2.519,3.502,2.984,2.951,2.197,0.939,2.09,0.676,1.141,2.319,3.075,2.423,2.635,2.333,3.399,3.039,3.254,3.725,2.872,3.534,3.874,1.864,5.259,2.809,6.447,4.366,5.238,4.872,4.611,5.004,4.163,NA
"1992",0.484,0.095,0.448,0.186,0.408,0.893,1.412,0.216,0.215,0.827,0.391,0.924,1.359,2.329,0.347,0.775,0.23,0.371,0.701,1.597,0.673,0.927,0.848,1.071,0.576,2.478,1.617,0.619,0.503,0.304,0.521,0.465,0.248,0.217,0.568,0.652,0.233,0.307,0.598,0.53,0.612,1.449,1.656,0.401,0.421,3.105,0.61,0.644,0.64,0.516,1.6,0.173,1.331,1.245,1.095,1.055,1.285,1.233,0.895,0.789,1.396,1.176,1.387,1.225,2.159,1.7,0.254,0.207,1.259,0.931,0.953,1.397,1.421,1.781,1.753,1.213,1.004,1.405,1.126,1.203,1.818,2.147,1.418,1.816,1.539,1.417,0.669,0.895,1.272,1.285,1.293,0.728,1.693,1.488,1.761,1.598,1.214,0.611,0.897,0.381,0.293,0.28,0.344,0.9,1.78,0.76,1.247,1.304,1.068,0.752,0.655,1.714,0.632,0.926,1.398,4.092,5.879,2.545,2.971,2.34,1.587,2.528,0.303,0.689,2.377,2.971,2.251,2.42,3.143,3.178,3.152,3.605,3.828,2.894,3.168,3.856,1.769,5.374,3.184,5.287,6.197,5.985,5.391,4.532,4.987,3.935,NA
"1993",0.363,0.214,0.432,0.215,0.228,0.857,0.864,0.099,0.184,0.803,0.433,0.776,0.556,1.28,0.326,1.191,0.422,0.525,0.603,1.37,0.608,0.465,1.041,1.726,1.233,2.212,1.552,0.508,0.699,0.611,0.883,0.758,0.291,0.413,0.903,0.738,0.352,0.314,0.98,0.861,1.287,1.128,1.771,0.617,1.034,3.015,0.37,0.669,0.909,0.693,1.226,0.311,1.544,1.243,1.477,0.595,1.295,1.408,1.298,0.985,1.488,1.442,1.659,1.193,1.698,1.875,0.452,0.471,1.561,1.428,1.173,1.332,1.349,1.874,2.369,1.359,1.22,1.544,2.001,1.478,1.389,3.205,1.655,2.142,1.852,1.985,0.984,1.033,1.293,1.312,1.845,1.252,1.781,1.808,2.814,1.728,1.583,0.831,0.6,0.459,0.341,0.306,0.434,1.368,1.831,1.908,2.049,2.292,1.897,0.985,1.428,2.088,1.28,1.985,2.366,1.258,1.743,1.884,1.259,1.076,0.098,0.146,0.676,0.805,1.633,2.475,2.004,2.058,3.037,2.671,2.169,3.113,1.785,1.606,3.417,4.399,1.855,2.738,2.6,2.177,5.238,3.696,3.957,4.368,4.239,1.956,NA
"1994",0.936,0.289,0.594,1.347,0.47,0.85,1.732,0.39,0.416,0.736,0.727,1.337,0.856,1.875,0.518,1.196,0.41,0.81,0.711,2.29,0.916,0.783,1.868,2.808,1.363,3.063,1.972,0.898,1.261,0.926,1.104,1.33,0.832,0.554,1.311,0.953,0.688,0.846,1.314,1.705,1.589,1.916,1.066,0.555,0.903,1.579,0.426,0.817,1.287,1.153,1.736,0.526,1.545,1.547,1.675,1.472,1.246,1.552,1.194,1.22,1.53,1.869,1.814,1.358,2.123,2.093,0.586,0.522,2.211,2.096,1.727,2.393,2.306,1.999,2.63,1.921,2.235,2.338,2.441,1.354,1.646,3.208,2.169,2.201,2.393,1.884,1.82,1.99,2.114,2.095,2.322,1.362,1.954,2.618,3.581,2.32,1.72,0.855,0.608,0.979,0.731,0.568,0.684,1.582,2.528,2.46,2.811,3.576,2.765,1.228,1.949,2.409,1.519,2.274,1.932,4.5,6.098,2.981,2.907,2.301,3.218,4.126,0.998,1.575,2.936,2.691,2.515,3.405,4.386,3.545,3.372,3.969,4.376,3.204,4.319,5.507,3.782,5.403,3.913,2.606,7.124,4.716,4.922,4.991,5.12,4.495,NA
"1995",0.938,0.299,0.835,1.417,0.659,1.08,2.517,0.44,0.299,1.249,0.816,1.589,0.91,2.598,0.705,1.593,0.367,0.869,1.211,3.128,0.747,1.702,2.363,2.199,1.642,3.316,2.193,0.796,1.133,1.213,1.621,1.271,1.025,0.508,1.425,1.212,1.37,0.791,0.921,1.851,1.588,1.797,1.95,0.956,1.328,1.973,0.421,1.035,1.318,0.924,0.937,0.254,1.355,1.212,1.374,1.335,1.292,1.192,1.159,0.886,1.471,1.421,1.566,1.197,1.901,1.864,0.286,0.357,1.787,1.664,1.567,2.097,2.237,1.861,2.28,1.82,2.01,2.164,1.967,1.464,1.434,3,1.848,1.751,2.066,2.388,2.175,2.374,1.752,1.774,1.75,1.118,1.823,2.197,3.107,1.959,1.686,0.947,1.524,1.312,0.967,0.647,0.873,1.291,2.536,2.324,2.869,2.228,2.53,1.663,1.566,1.732,1.264,1.904,2.196,6.268,9.042,3.656,3.526,3.651,2.088,2.156,0.528,0.613,3.437,3.233,3.988,3.959,4.927,4.033,4.378,4.632,5.641,4.2,3.349,4.334,5.415,6.412,4.505,2.597,7.482,7.77,7.971,5.084,5.452,6.923,NA
"1996",0.793,0.274,0.686,1.212,0.751,0.853,2.016,0.332,0.151,1.001,0.788,1.383,0.862,1.933,0.667,1.466,0.44,0.911,1.049,2.396,0.731,1.637,1.52,1.805,1.155,2.706,2.661,0.592,0.885,0.589,1.053,0.797,0.664,0.424,1.402,0.739,0.447,0.451,0.915,1.068,1.069,1.682,2.069,1.072,0.848,1.447,0.398,1.054,0.757,0.748,0.746,0.242,1.476,1.05,1.576,1.159,1.247,1.323,0.983,0.625,1.239,1.73,1.277,0.983,1.721,1.789,0.333,0.225,1.962,1.785,1.635,1.62,1.487,1.427,2.409,2.35,1.919,1.851,2.468,1.459,1.089,2.505,1.344,2.05,2.276,1.951,2.964,2.433,2.051,2.081,2.303,1.672,1.535,1.995,2.866,1.534,1.386,1.686,2.354,1.85,1.445,1.089,1.221,1.809,2.012,2.337,3.001,2.646,2.088,1.894,1.485,1.517,2.079,1.746,1.779,3.329,4.875,2.779,2.921,2.064,2.576,2.298,1.059,1.245,2.659,2.821,2.523,2.862,3.761,2.135,3.563,5.12,3.339,3.921,3.588,5.261,4.194,3.159,3.557,3.327,5.916,5.23,5.77,4.348,4.09,4.625,6.971
"1997",0.675,0.304,0.45,0.754,0.798,0.628,1.64,0.427,0.148,1.205,0.828,1.144,0.642,2.469,0.694,1.381,0.453,1.081,0.936,2.038,0.654,1.12,1.347,1.759,0.845,2.646,2.106,0.54,1.05,0.793,1.07,0.814,0.465,0.386,1.053,0.87,0.302,0.55,0.831,1.138,1.229,1.569,1.906,0.689,0.636,1.172,0.696,0.777,0.891,0.797,1.064,0.195,1.069,1.085,1.209,1.401,1.113,1.187,0.789,0.812,1.349,1.614,1.614,1.135,1.66,2.036,0.339,0.277,1.339,1.373,1.158,2.468,1.21,1.812,2.512,1.856,1.979,1.28,1.682,1.254,1.614,2.539,1.958,2.216,2.089,2.232,2.823,2.399,1.914,1.914,1.559,1.321,1.858,1.844,2.624,1.864,1.691,1.566,2.139,1.706,1.255,1.3,1.391,1.248,2.49,2.234,2.983,2.377,2.359,1.691,1.555,1.884,1.56,1.786,2.044,3.305,3.632,2.243,1.706,1.446,1.62,2.552,1.45,1.809,2.988,2.629,2.467,3.268,3.557,2.262,3.879,5.649,3.817,4.323,3.62,5.151,4.796,3.818,4.301,5.103,8.098,5.497,5.54,4.634,4.409,6.428,5.443
"1998",0.667,0.136,0.793,1.412,0.545,0.995,1.512,0.188,0.321,1.259,0.829,1.192,0.993,2.266,0.68,1.246,0.138,0.748,0.537,2.042,0.775,0.854,1.33,1.695,0.767,2.311,1.535,0.613,1.234,0.643,1.223,0.477,0.345,0.215,0.706,0.679,0.342,0.41,0.907,1.129,0.599,0.543,1.492,0.588,1.071,2.211,0.53,0.723,0.657,0.655,1.444,0.52,1.751,1.12,1.454,1.529,1.737,1.369,1.353,0.79,1.851,1.724,1.736,1.653,2.075,2.186,0.22,0.23,2.195,1.663,1.065,1.654,1.333,1.954,2.473,1.957,2.255,1.796,1.691,1.296,2.08,2.707,1.964,2.48,2.342,1.978,2.473,2.782,2.095,2.067,1.634,1.595,2.185,1.933,2.977,2.041,2.081,1.611,1.801,1.893,1.29,1.269,1.453,1.393,2.633,3.429,3.79,2.336,1.846,1.543,1.872,2.327,2.103,1.906,2.434,3.465,3.592,2.67,1.321,1.476,2.105,1.388,1.673,1.545,2.495,1.678,2.213,2.937,3.728,1.536,3.4,4.721,3.674,4.123,3.55,5.834,4.788,3.86,4.069,4.712,6.023,5.866,7.159,4.996,4.675,5.396,3.772
"1999",0.947,0.167,0.846,0.585,0.953,1.217,1.581,0.272,0.226,1.005,1.133,1.394,0.623,1.341,0.97,1.394,0.119,1.137,0.633,2.028,0.972,0.65,1.164,0.691,0.402,1.731,1.316,0.413,0.891,0.684,1.278,0.668,0.334,0.204,1.44,0.761,0.153,0.401,0.975,0.852,0.385,0.45,0.897,0.409,0.651,2.312,0.443,0.574,0.542,0.868,1.123,0.133,1.209,0.883,1.353,0.876,0.969,0.96,0.998,0.632,1.655,1.2,1.282,1.03,1.681,1.313,0.073,0.104,2.19,1.113,1.754,1.765,1.614,1.582,1.851,1.298,1.757,1.951,1.777,1.125,1.548,2.445,1.601,1.786,1.475,1.544,1.598,1.997,1.736,1.734,1.547,1.12,1.546,1.123,2.868,1.636,1.41,1.317,1.19,0.861,0.598,1.019,0.921,0.847,2.004,1.935,2.576,1.903,1.86,0.969,1.078,1.261,1.476,0.904,2.073,3.851,5.416,2.743,2.239,2.425,1.233,0.988,1.119,1.202,2.096,2.017,3.864,4.789,3.788,2.299,4.608,5.688,4.356,3.855,3.124,4.144,5.069,5.017,4.098,5.208,4.868,5.873,6.833,3.935,5.083,6.075,5.772
"2000",0.349,0.213,0.962,0.112,0.628,1.198,0.922,0.217,0.107,1.095,0.92,0.801,0.471,0.793,0.581,1.04,0.162,0.6,0.367,1.742,0.591,0.81,0.91,1.369,0.296,2.622,1.981,0.429,0.581,0.364,0.82,0.417,0.214,0.141,0.644,0.379,0.299,0.251,0.846,0.875,0.546,0.558,0.702,0.234,0.642,0.92,0.419,0.613,0.589,0.574,1.15,0.178,1.389,1.158,1.085,1.072,1.112,0.965,1.092,0.722,1.626,1.159,1.322,0.926,2.141,1.748,0.341,0.587,2.647,1.449,1.579,1.547,1.776,1.424,2.088,1.884,2.121,2.228,2.511,1.637,1.234,1.987,1.812,1.839,1.853,2.056,1.883,1.966,2.502,2.54,2.213,0.898,1.515,1.357,2.641,1.178,1.458,1.536,1.501,0.935,0.517,1.104,0.808,0.786,2.464,1.804,2.536,1.98,2.23,1.319,1.543,1.318,1.566,1.224,1.583,1.929,2.254,1.926,1.369,1.828,0.884,1.471,1.12,1.102,1.552,0.639,1.705,1.161,3.014,1.492,2.765,3.438,3.779,3.083,3.442,4.171,4.565,3.94,2.913,3.711,3.841,1.994,4.965,2.957,3.131,4.658,6.177
"2001",0.561,0.158,0.387,0.688,0.357,1.283,1.309,0.133,0.104,1.04,0.447,0.709,1.041,0.967,0.242,1.009,0.084,0.775,0.384,1.482,0.638,0.412,0.7,2.369,0.653,3.015,2.588,0.316,0.452,0.29,0.755,0.378,0.27,0.07,0.581,0.364,0.223,0.28,0.953,0.376,0.865,0.966,0.899,0.219,0.888,1.847,0.698,0.664,0.408,0.484,0.858,0.304,1.161,1.041,0.978,0.855,0.97,0.694,0.743,0.788,1.419,1.154,1.124,0.897,1.852,1.881,0.339,0.426,2.514,2.775,1.744,1.573,1.55,1.457,3.156,2.06,2.125,1.982,2.688,1.929,1.8,2.339,2.253,1.894,2.073,2.688,2.441,2.707,2.42,2.409,3.104,1.398,1.764,1.591,2.776,2.038,2.026,1.83,1.578,1.655,1.315,1.279,0.906,1.219,2.721,2.01,3.178,2.393,2.752,1.7,2.127,1.77,2.199,1.703,2.386,1.677,1.522,1.395,1.223,2.379,1.308,0.641,2.074,1.383,1.237,0.845,2.226,2.156,2.181,1.227,2.753,3.254,3.683,3.102,4.34,5.103,4.382,3.393,2.717,5.208,4.442,2.735,4.709,2.01,2.282,4.83,4.228
